Ordinal,Function,Ordinal_in_Function
103,??0CDocument@@QAE@XZ @ 338 NONAME,False
104,??0CDragListBox@@QAE@XZ @ 339 NONAME,False
105,??0CDumpContext@@QAE@PAVCFile@@@Z @ 340 NONAME,False
106,??0CDWordArray@@QAE@XZ @ 341 NONAME,False
107,??0CDynLinkLibrary@@QAE@AAUAFX_EXTENSION_MODULE@@H@Z @ 342 NONAME,False
108,??0CEdit@@QAE@XZ @ 343 NONAME,False
109,??0CEditView@@QAE@XZ @ 344 NONAME,False
110,??0CEnumArray@@QAE@IPBXIH@Z @ 345 NONAME,False
111,??0CEnumConnPoints@@QAE@PBXI@Z @ 346 NONAME,False
112,??0CEnumFormatEtc@@QAE@XZ @ 347 NONAME,False
113,??0CEvent@@QAE@HHPBDPAU_SECURITY_ATTRIBUTES@@@Z @ 348 NONAME,False
114,??0CException@@QAE@H@Z @ 349 NONAME,False
115,??0CException@@QAE@XZ @ 350 NONAME,False
116,??0CFieldExchange@@QAE@IPAVCRecordset@@PAX@Z @ 351 NONAME,False
117,??0CFile@@QAE@H@Z @ 352 NONAME,False
118,??0CFile@@QAE@PBDI@Z @ 353 NONAME,False
119,??0CFile@@QAE@XZ @ 354 NONAME,False
120,??0CFileDialog@@QAE@HPBD0K0PAVCWnd@@@Z @ 355 NONAME,False
121,??0CFileFind@@QAE@XZ @ 356 NONAME,False
122,??0CFindReplaceDialog@@QAE@XZ @ 357 NONAME,False
123,??0CFont@@QAE@XZ @ 358 NONAME,False
124,??0CFontComboBox@@QAE@XZ @ 359 NONAME,False
125,??0CFontDialog@@QAE@ABU_charformat@@KPAVCDC@@PAVCWnd@@@Z @ 360 NONAME,False
126,??0CFontDialog@@QAE@PAUtagLOGFONTA@@KPAVCDC@@PAVCWnd@@@Z @ 361 NONAME,False
127,??0CFontHolder@@QAE@PAUIPropertyNotifySink@@@Z @ 362 NONAME,False
128,??0CFontPropPage@@QAE@XZ @ 363 NONAME,False
129,??0CFormView@@IAE@I@Z @ 364 NONAME,False
130,??0CFormView@@IAE@PBD@Z @ 365 NONAME,False
131,??0CFrameWnd@@QAE@XZ @ 366 NONAME,False
132,??0CFtpConnection@@QAE@PAVCInternetSession@@PAXPBDK@Z @ 367 NONAME,False
133,??0CFtpConnection@@QAE@PAVCInternetSession@@PBD11KGH@Z @ 368 NONAME,False
